lf_acr;lf_ext;country;source
G.I.E ;Groupement d'Intérêt Economique;Morocco;WIKI
S.N.C ;Société en Nom Collectif;Morocco;WIKI
S.C.S ;Société en Commandite Simple;Morocco;WIKI
S.C.A;Société en Commandite par Actions;Morocco;WIKI
;Close Corporation;Morocco;WIKI
;Companies;Namibia;WIKI
;Sole Trader;Namibia;WIKI
;Partnership;Namibia;WIKI
;Trusts;Namibia;WIKI
;Co-operatives;Namibia;WIKI
;Private Limited Company;Namibia;WIKI
;Public Limited Company;Nepal;WIKI
;Stichting;Nepal;WIKI
W.A.;Wettelijke Aansprakelijkheid;Netherlands;WIKI
B.A.;Beperkte Aansprakelijkheid;Netherlands;WIKI
U.A.;Uitsluiting van Aansprakelijkheid;Netherlands;WIKI
;Coöperatie;Netherlands;WIKI
;Onderlinge waarborgmaatschappij;Netherlands;WIKI
Mij;Maatschappij;Netherlands;WIKI
Mts;Maatschap;Netherlands;WIKI
;Eenmanszaak;Netherlands;WIKI
vof;Vennootschap onder firma;Netherlands;WIKI
cv;Commanditaire vennootschap;Netherlands;WIKI
bv;Besloten vennootschap;Netherlands;WIKI
nv;Naamloze vennootschap;Netherlands;WIKI
Ltd;Limited;Netherlands;WIKI
LTC;Look-through company;New Zealand;WIKI
S.A.;;New Zealand;WIKI
Cia.;;Nicaragua;WIKI
Cia. Ltda.;;Nicaragua;WIKI
S.C.S.;;Nicaragua;WIKI
S.C.A.;;Nicaragua;WIKI
Ltd.;Private Limited Company;Nicaragua;WIKI
PLC;Public Limited Company;Nigeria;WIKI
Ltd.|Gte.;Limited by Guarantee;Nigeria;WIKI
ULtd.;Unlimited;Nigeria;WIKI
LLP;Limited Liability Partnership;Nigeria;WIKI
ASA;Allmennaksjeselskap;Nigeria;WIKI
AS;Aksjeselskap;Norway;WIKI
ANS ;Ansvarlig selskap;Norway;WIKI
BA ;Selskap med begrenset ansvar;Norway;WIKI
BL;Borettslag;Norway;WIKI
DA;Selskap med delt ansvar;Norway;WIKI
;Enkeltpersonforetak;Norway;WIKI
;Etat;Norway;WIKI
FKF;Fylkeskommunalt foretak;Norway;WIKI
HF;helseforetak;Norway;WIKI
IKS;Interkommunalt selskap;Norway;WIKI
KF;Kommunalt foretak;Norway;WIKI
KS;Kommandittselskap;Norway;WIKI
NUF;Norskregistrert utenlandsk foretak;Norway;WIKI
RHF;regionalt helseforetak;Norway;WIKI
SF;Statsforetak;Norway;WIKI
;Sparebank;Norway;WIKI
;Stiftelse;Norway;WIKI
UB;Ungdomsbedrift;Norway;WIKI
SAOG;Société Anonyme Omanaise Générale|Public Joint Stock Company;Norway;WIKI
SAOC;Société Anonyme Omanaise Close|Closed Joint Stock Company;Oman;WIKI
;Sole Proprietorship;Oman;WIKI
;Partnership;Pakistan;WIKI
;Company;Pakistan;WIKI
S.A.;Sociedad Anónima;Pakistan;WIKI
S.A.A.;Sociedad Anónima Abierta;Peru;WIKI
S.A.C.;Sociedad Anónima Cerrada;Peru;WIKI
Co.;Company;Peru;WIKI
Coop.;Cooperative;Philippines;WIKI
Corp.;Corporation;Philippines;WIKI
Ent.;Enterprise;Philippines;WIKI
Inc.;Incorporated;Philippines;WIKI
Ltd.|Ltd. Co.;Limited|Limited Company;Philippines;WIKI
Cía;Compañía;Philippines;WIKI
SA;Sociedad Anónima;Philippines;WIKI
;jednoosobowa działalność gospodarcza;Philippines;WIKI
;Przedsiębiorstwo Państwowe;Poland;WIKI
S.A.;spółka akcyjna;Poland;WIKI
s.c.;spółka cywilna;Poland;WIKI
S.K.A.;spółka komandytowo-akcyjna;Poland;WIKI
sp.j.;spółka jawna;Poland;WIKI
sp.k.;spółka komandytowa;Poland;WIKI
sp.p.;spółka partnerska;Poland;WIKI
Sp. z o.o.;spółka z ograniczoną odpowiedzialnością;Poland;WIKI
;Spółdzielnia;Poland;WIKI
CRL;Cooperativa de Responsabilidade Limitada;Poland;WIKI
S.A.;Sociedade Anónima;Portugal;WIKI
S.A.;Sociedade Aberta;Portugal;WIKI
S.F.;Sociedade Fechada;Portugal;WIKI
Lda.;Limitada;Portugal;WIKI
;Unipessoal Lda.;Portugal;WIKI
SGPS;Sociedade Gestora de Participações Sociais;Portugal;WIKI
S.A.;Societate pe Acţiuni;Portugal;WIKI
S.C.A.;societate în comandită pe acţiuni;Romania;WIKI
S.C.S.;societate în comandită simplă;Romania;WIKI
S.N.C.;societate în nume colectiv;Romania;WIKI
S.R.L.;societate cu răspundere limitată;Romania;WIKI
PFA;persoana fizica autorizata;Romania;WIKI
O.N.G.;Organizație Non-Guvernamentală;Romania;WIKI
NKO|НКО;Nekommercheskaya organizatsiya|Некоммерческая организация;Romania;WIKI
GP|ГП|GUP|ГУП;Gosudarstvennoye (unitarnoye)|predpriyatiye|Государственное (унитарное)|предприятие;Russia;WIKI
IP|ИП;Individualny predprinimatel'|Индивидуальный предприниматель;Russia;WIKI
OOO|ООО;Obschestvo s ogranichennoy otvetstvennostyu|Общество с ограниченной ответственностью;Russia;WIKI
PAO|ПАО;Publichnoye aktsionernoye obschestvo|Публичное акционерное общество;Russia;WIKI
;Kooperativ|кооператив;Russia;WIKI
АО|AO ;Aktsionernoye obschestvo|Акционерное общество;Russia;WIKI
;Prostoye tovarishestvo|Простое товарищество|general partnership|Kommanditnoe tovarishestvo|Коммандитное товарищество|limited partnership;Russia;WIKI
;Hozyaystvennoye partnyorstvo|Хозяйственное партнёрство|business partnership;Russia;WIKI
;Private Limited Company;Russia;WIKI
;Joint-Stock company;Saudi Arabia;WIKI
;General Partnership Company;Saudi Arabia;WIKI
;Limited Partnership;Saudi Arabia;WIKI
;Foreign Company;Saudi Arabia;WIKI
;Individual Establishment;Saudi Arabia;WIKI
j.p.|ј.п.;javno preduzeće|јавно предузеће;Saudi Arabia;WIKI
a.d.|a.д.|d.d.|д.д.;akcionarsko društvo|aкционарско друштво|deoničarsko društvo|деоничарско друштво or deoničko društvo|деоничко друштво;Serbia;WIKI
d.o.o.|д.о.о.;društvo sa ograničenom odgovornošću|друштво сa ограниченом одговорношћу;Serbia;WIKI
k.d.|к.д.;komanditno društvo|командитно друштво;Serbia;WIKI
o.d.|о.д.;ortačko društvo|ортачко друштво;Serbia;WIKI
;preduzetnik предузетник;Serbia;WIKI
LLP;limited liability partnership;Serbia;WIKI
Pte Ltd|Sdn Bhd;private limited company|Sendirian Berhad;Singapore;WIKI
Ltd|Bhd;public limited company|Berhad;Singapore;WIKI
a.s.;Akciová spoločnosť;Singapore;WIKI
s.r.o.|spol. s r.o.;Spoločnosť s ručením obmedzeným;Slovakia;WIKI
k.s.;Komanditná spoločnosť;Slovakia;WIKI
v.o.s.;Verejná obchodná spoločnosť;Slovakia;WIKI
;družstvo;Slovakia;WIKI
;živnosť;Slovakia;WIKI
d.d.;Delniška družba;Slovakia;WIKI
d.o.o.;Družba z omejeno odgovornostjo;Slovenia;WIKI
d.n.o.;Družba z neomejeno odgovornostjo;Slovenia;WIKI
k.d.;Komanditna družba;Slovenia;WIKI
s.p.;Samostojni podjetnik;Slovenia;WIKI
;Sole proprietorship|Alleeneienaar;Slovenia;WIKI
;Business trust|Trust;South Africa;WIKI
;Partnership|Vennootskap;South Africa;WIKI
;Companies|Maatskappye;South Africa;WIKI
;Company limited by guarantee;South Africa;WIKI
;Incorporated association not for gain|vereniging sonder winsoogmerk;South Africa;WIKI
;Companies having a share capital;South Africa;WIKI
;Private company|privaat maatskappy;South Africa;WIKI
Ltd.;Public company|publieke maatskappy;South Africa;WIKI
CC|BK;Close corporation|beslote korporasie;South Africa;WIKI
S.A.;Sociedad Anónima;South Africa;WIKI
S.L.;Sociedad Limitada;Spain;WIKI
S.L.N.E.;Sociedad Limitada Nueva Empresa;Spain;WIKI
S.A.D.;Sociedad Anónima Deportiva;Spain;WIKI
S.L.L.;Sociedad Limitada Laboral;Spain;WIKI
S.C.;Sociedad Colectiva;Spain;WIKI
S.C.P.;Sociedad Civil Privada;Spain;WIKI
S.Cra.;Sociedad Comanditaria;Spain;WIKI
S.Coop.;Sociedad Cooperativa;Spain;WIKI
SAL;Sociedad Anónima Laboral;Spain;WIKI
SCCL;Sociedad Cooperativa Catalana Limitada;Spain;WIKI
AB;Aktiebolag;Spain;WIKI
AB (publ);Publikt aktiebolag;Sweden;WIKI
Ek. för.;Ekonomisk förening;Sweden;WIKI
;Bostadsrättsförening;Sweden;WIKI
;Hyresrättsförening;Sweden;WIKI
;Kooperativ;Sweden;WIKI
;Enskild firma;Sweden;WIKI
HB;Handelsbolag;Sweden;WIKI
KB;Kommanditbolag;Sweden;WIKI
;Enkelt bolag;Sweden;WIKI
;Ideell förening;Sweden;WIKI
;Stiftelse;Sweden;WIKI
;Filial;Sweden;WIKI
AG |SA|SA;Aktiengesellschaft|Société anonyme|Società anonima;Sweden;WIKI
GmbH|Sàrl|Sagl;Gesellschaft mit beschränkter Haftung|Société à responsabilité limitée|Società a garanzia limitata;Switzerland;WIKI
;Stiftung|fondation|fondazione;Switzerland;WIKI
;investment fund|Anlagefonds|fonds de placement|fondo di investimento;Switzerland;WIKI
SICAF|SICAF;Investmentgesellschaft mit festem Kapital|société d'investissement à capital fixe|società di investimento a capitale fisso;Switzerland;WIKI
SICAV|SICAV;Investmentgesellschaft mit variablem Kapital|société d'investissement à capital variable|società di investimento a capitale variabile;Switzerland;WIKI
;Verein|association|associazione;Switzerland;WIKI
wIG|GIE;wirtschaftliche Interessengemeinschaft|groupement d'intérêt économique|gruppo di interesse economico;Switzerland;WIKI
RI;Einzelunternehmen|raison individuelle|ditta individuale;Switzerland;WIKI
;;Switzerland;WIKI
;partnerships|Rechsgemeinschaft|société de personnes|società di persone;Switzerland;WIKI
eG;einfache Gesellschaft|société simple|società semplice;Switzerland;WIKI
KolG|SNC;Kollektivgesellschaft|société en nom collectif|società in nome collettivo;Switzerland;WIKI
KG|SC;Kommanditgesellschaft|société en commandite|società in accomandita;Switzerland;WIKI
;Körperschaft|société de capitaux|società di capitale;Switzerland;WIKI
KomAG |SCA;Kommanditaktiengesellschaft|société en commandite par actions|società in accomandita per azioni;Switzerland;WIKI
GmbH | Sàrl|Sagl;Gesellschaft mit beschränkter Haftung|société à responsabilité limitée|società a garanzia limitata;Switzerland;WIKI
AG|SA|SA;Aktiengesellschaft|société anonyme|società anonima;Switzerland;WIKI
Scoop;Genossenschaft|société coopérative|società cooperativa;Switzerland;WIKI
;Zweigniederlassung|succursale|succursale;Switzerland;WIKI
;無限公司|Unlimited Company;Switzerland;WIKI
;有限公司|Limited Company|yǒuxiàn gōngsī;Taiwan;WIKI
;兩合公司|Limited Partnership;Taiwan;WIKI
;股份有限公司|Public Limited Company|Public Limited Corporation|gǔfèn yǒuxiàn gōngsī;Taiwan;WIKI
;;Taiwan;WIKI
;;Taiwan;WIKI
;;Taiwan;WIKI
;;Taiwan;WIKI
;Adi Şirket;Taiwan;WIKI
;Şahıs şirketleri;Turkey;WIKI
Koll. Şti.;Kolektif şirket;Turkey;WIKI
Kom. Şti;Komandit şirket;Turkey;WIKI
;Sermaye şirketleri;Turkey;WIKI
A.Ş.|A.O.;Anonim Şirket|Anonim Ortaklık;Turkey;WIKI
Ltd. Şti.|L.Ş.|L.O.;Limited şirket|Limited Ortaklık;Turkey;WIKI
HAAO;Halka Açık Anonim Ortaklık;Turkey;WIKI
Koop.;Kooperatif Şirket;Turkey;WIKI
;irtibat bürosu;Turkey;WIKI
;Şahıs Firması;Turkey;WIKI
Şb.;Şube;Turkey;WIKI
;Entreprise individuelle;Turkey;WIKI
SARL;Société à responsabilité limitée;Tunisia;WIKI
SUARL;Société unipersonnelle à responsabilité limitée;Tunisia;WIKI
SA;Société anonyme;Tunisia;WIKI
;;Tunisia;WIKI
DAT|ДАТ;Державне акціонерне товариство|Derzhavne aktsionerne tovarystvo;Tunisia;WIKI
FOP|ФОП;Фізична особа підприємець|Fizychna osoba pidpryyemets;Ukraine;WIKI
KT|КТ;Командитне товариство|Komandytne tovarystvo;Ukraine;WIKI
PT|ПT;Повне товариство|Povne tovarystvo;Ukraine;WIKI
TDV|ТДВ;Товариство з додатковою відповідальністю|Tovarystvo z dodatkvoiu vidpovidalnistiu;Ukraine;WIKI
TOV|TOB;Товариство з обмеженою відповідальністю|Tovarystvo z obmezhenoiu vidpovidalnistiu;Ukraine;WIKI
PP|ПП;Приватне підприємство|Pryvatne pidpryyemstvo;Ukraine;WIKI
VAT|ВАТ|PAT|ПАТ;Вiдкрите акцiонерне товариство|Vidkryte aktsionerne tovarystvo|Публічне акціонерне товариство|Publichne aktsionerne tovarystvo;Ukraine;WIKI
ZAT|ЗАТ|PrAT|ПрАТ;Закрите акцiонерне товариство|Zakryte Aktsionerne Tovarystvo|Приватне акціонерне товариство|Prytvatne aktsionerne tovarystvo;Ukraine;WIKI
AT|АТ;Акціонерне товариство|Aktsionerne tovarystvo;Ukraine;WIKI
CIC;community interest company;Ukraine;WIKI
CIO;Charitable Incorporated Organisation;United Kingdom;WIKI
;Industrial and provident society;United Kingdom;WIKI
;General partnership;United Kingdom;WIKI
LLP;Limited liability partnership;United Kingdom;WIKI
;Scottish limited partnerships;United Kingdom;WIKI
LP;Limited partnership;United Kingdom;WIKI
;Private company limited by shares;United Kingdom;WIKI
;Private company limited by guarantee;United Kingdom;WIKI
PLC |CCC;Public Limited Company|Welsh Cwmni Cyfyngedig Cyhoeddus;United Kingdom;WIKI
Ltd|Cyf;Private Limited Companies|Limited or Welsh Cyfyngedig;United Kingdom;WIKI
cwmni;Unlimited company|anghyfyngedig;United Kingdom;WIKI
;Sole proprietorship|Sole traders;United Kingdom;WIKI
;Sole proprietorship;United Kingdom;WIKI
;Trust;United States;WIKI
;General partnership;United States;WIKI
LP;Limited partnership;United States;WIKI
LLP;Limited Liability Partnership;United States;WIKI
LLLP;Limited Liability Limited Partnership;United States;WIKI
LLC|LC|Ltd. Co.;Limited Liability Company;United States;WIKI
PLLC;Professional Limited Liability Company;United States;WIKI
Corp.|Inc.;Corporation|Incorporated;United States;WIKI
PC|P.C;Professional corporation;United States;WIKI
NA;National Association;United States;WIKI
FSB;Federal Savings Bank;United States;WIKI
NT&SA;National Trust and Savings Association;United States;WIKI
;Federal Credit Union;United States;WIKI
MChJ;Mas'uliyati Cheklangan Jamiyat|Масъулияти Чекланган Жамият;Uzbekistan;WIKI
QMJ;Qo'shimcha ma'suliyatli jamiyat|Қўшимча масъулиятли жамият;Uzbekistan;WIKI
AJ;Aksiyadorlik jamiyati|Акциядорлик жамияти;Uzbekistan;WIKI
OAJ ;Ochiq aksiyadorlik jamiyati|Очиқ акциядорлик жамияти;Uzbekistan;WIKI
YoAJ;Yopiq aksiyadorlik jamiyati|Ёпиқ акциядорлик жамияти;Uzbekistan;WIKI
XK;Xususiy korxona|Хусусий корхона;Uzbekistan;WIKI
XT ;Xususiy tadbirkorlik|Хусусий тадбиркорлик;Uzbekistan;WIKI
OK ;Oilaviy korxona|Оилавий корхона;Uzbekistan;WIKI
UK;Unitar korxona|Унитар корхона;Uzbekistan;WIKI
QK;Qo'shma korxona|Қўшма корхона;Uzbekistan;WIKI
Cty TNHH;Công ty trách nhiệm hữu hạn|Company with Limited Liablity;Uzbekistan;WIKI
Cty TNHH MTV;Công ty trách nhiệm hữu hạn một thành viên;Vietnam;WIKI
Cty CP;Công ty cổ phần|Company with Joint Stock;Vietnam;WIKI
;Công ty hợp danh|Company of Partners;Vietnam;WIKI
;Doanh nghiệp hợp danh|Enterprise Partnership;Vietnam;WIKI
DNNN;Doanh nghiệp nhà nước|Enterprise of the State;Vietnam;WIKI
DNTN;Doanh nghiệp tư nhân|Enterprise Private;Vietnam;WIKI
DTNN;Doanh nghiệp có vốn đầu tư nước ngoài|Enterprise with Foreign Investment;Vietnam;WIKI
HTX;Hợp tác xã|Co-operation;Vietnam;WIKI
;Chi nhánh;Vietnam;WIKI
;Nhóm Cty|Công Ty|Group Company;Vietnam;WIKI
